task,test/test_acc_task_0,test/test_acc_task_1,test/test_acc_task_2,test/test_acc_task_3,test/test_acc_task_4,test/test_acc_task_5,test/test_acc_task_6,test/test_acc_task_7,test/test_acc_task_8,test/test_acc_task_9,test/test_acc,experiment
9,0.9544921875,0.9541015625,0.95556640625,0.94951171875,0.95244140625,0.95517578125,0.9568359375,0.9591796875,0.95830078125,0.96279296875,0.95583984375,vcl + coreset (5k)
0,0.98017578125,,,,,,,,,,0.98017578125,vcl + coreset (4k)
1,0.97744140625,0.971875,,,,,,,,,0.974658203125,vcl + coreset (4k)
2,0.97666015625,0.97109375,0.97021484375,,,,,,,,0.97265625,vcl + coreset (4k)
3,0.97197265625,0.9673828125,0.96796875,0.97236328125,,,,,,,0.969921875,vcl + coreset (4k)
4,0.96923828125,0.96552734375,0.96533203125,0.971875,0.97216796875,,,,,,0.9688281249999999,vcl + coreset (4k)
5,0.9673828125,0.96376953125,0.9599609375,0.9685546875,0.96640625,0.97109375,,,,,0.9661946614583333,vcl + coreset (4k)
6,0.9626953125,0.95966796875,0.9591796875,0.963671875,0.962890625,0.96923828125,0.96884765625,,,,0.9637416294642858,vcl + coreset (4k)
7,0.96064453125,0.952734375,0.955078125,0.959765625,0.95869140625,0.96640625,0.9669921875,0.96640625,,,0.9608398437500001,vcl + coreset (4k)
8,0.95390625,0.9517578125,0.95302734375,0.95625,0.95751953125,0.96337890625,0.96259765625,0.963671875,0.969140625,,0.9590277777777777,vcl + coreset (4k)
9,0.948046875,0.9505859375,0.94853515625,0.95166015625,0.955859375,0.96015625,0.959375,0.9587890625,0.9638671875,0.96728515625,0.9564160156250001,vcl + coreset (4k)
0,0.9791015625,,,,,,,,,,0.9791015625,vcl + coreset (2.5k)
1,0.97568359375,0.9759765625,,,,,,,,,0.975830078125,vcl + coreset (2.5k)
2,0.9716796875,0.97216796875,0.97158203125,,,,,,,,0.9718098958333333,vcl + coreset (2.5k)
3,0.96787109375,0.96865234375,0.9642578125,0.96865234375,,,,,,,0.9673583984375,vcl + coreset (2.5k)
4,0.9634765625,0.9658203125,0.96162109375,0.9673828125,0.9724609375,,,,,,0.9661523437499999,vcl + coreset (2.5k)
5,0.95751953125,0.95986328125,0.95830078125,0.96298828125,0.9642578125,0.96806640625,,,,,0.9618326822916666,vcl + coreset (2.5k)
6,0.954296875,0.9556640625,0.956640625,0.96123046875,0.96279296875,0.96455078125,0.9689453125,,,,0.9605887276785713,vcl + coreset (2.5k)
7,0.94404296875,0.95498046875,0.95234375,0.95771484375,0.95732421875,0.95908203125,0.96884765625,0.96748046875,,,0.9577270507812501,vcl + coreset (2.5k)
8,0.9361328125,0.946484375,0.9490234375,0.95458984375,0.95595703125,0.95537109375,0.96376953125,0.96611328125,0.96708984375,,0.9549479166666666,vcl + coreset (2.5k)
9,0.928125,0.94150390625,0.94833984375,0.949609375,0.953125,0.95234375,0.9591796875,0.96181640625,0.9615234375,0.96494140625,0.95205078125,vcl + coreset (2.5k)
0,0.97177734375,,,,,,,,,,0.97177734375,vcl + coreset (2k)
1,0.96337890625,0.97158203125,,,,,,,,,0.96748046875,vcl + coreset (2k)
2,0.95888671875,0.9619140625,0.96689453125,,,,,,,,0.9625651041666666,vcl + coreset (2k)
3,0.95595703125,0.954296875,0.96455078125,0.96826171875,,,,,,,0.9607666015625,vcl + coreset (2k)
4,0.94833984375,0.947265625,0.96064453125,0.96083984375,0.966796875,,,,,,0.9567773437500001,vcl + coreset (2k)
5,0.9423828125,0.9421875,0.955859375,0.95927734375,0.96474609375,0.9650390625,,,,,0.9549153645833331,vcl + coreset (2k)
6,0.9404296875,0.9388671875,0.95009765625,0.9521484375,0.959765625,0.9578125,0.96259765625,,,,0.9516741071428572,vcl + coreset (2k)
7,0.93818359375,0.93369140625,0.94892578125,0.94580078125,0.95341796875,0.95673828125,0.9583984375,0.9650390625,,,0.9500244140625,vcl + coreset (2k)
8,0.93720703125,0.92822265625,0.944140625,0.94462890625,0.95078125,0.95283203125,0.953515625,0.95927734375,0.9650390625,,0.9484049479166666,vcl + coreset (2k)
9,0.92607421875,0.92626953125,0.941015625,0.939453125,0.95068359375,0.9447265625,0.94755859375,0.9564453125,0.9591796875,0.9615234375,0.9452929687500001,vcl + coreset (2k)
